Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Great Britain,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,North Macedonia,Netherlands,Norway,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
0.089853,0.256643,0.724115,0.186412,0.220929,0.148223,0.213919,0.478492,0.194209,0.353801,0.455216,0.12594,0.709911,0.846891,0.454853,0.138667,0.570741,0.636354,0.387274,0.041129,0.323364,0.185375,0.330523,0.500624,0.297991,0.352286,0.248514,0.456011,0.158285,0.007852
0.107262,0.255848,0.704626,0.135149,0.219167,0.148389,0.220629,0.478799,0.193027,0.343427,0.459131,0.123693,0.700541,0.844634,0.447559,0.130763,0.589185,0.648923,0.401536,0.035208,0.344027,0.210398,0.317101,0.4872,0.312628,0.412866,0.234318,0.459587,0.144458,0.002099
0.126093,0.271931,0.685712,0.096638,0.218919,0.149651,0.224818,0.498248,0.194416,0.318174,0.435141,0.124232,0.697619,0.842976,0.437505,0.103108,0.610796,0.652513,0.412329,0.028671,0.379115,0.219376,0.327321,0.471678,0.334719,0.434079,0.210799,0.468185,0.132195,3.4e-05
0.124709,0.288077,0.645886,0.07534,0.249256,0.150365,0.227557,0.518411,0.206195,0.289385,0.4087,0.13045,0.691752,0.843393,0.451836,0.085352,0.619626,0.642865,0.419264,0.023864,0.397916,0.246534,0.344864,0.467679,0.339614,0.415707,0.184055,0.463655,0.115401,0.0
0.137015,0.29385,0.619268,0.06265,0.303792,0.154996,0.239786,0.552819,0.222774,0.267865,0.383245,0.140045,0.684545,0.849564,0.477441,0.078712,0.624079,0.620897,0.43697,0.021958,0.418859,0.276229,0.347314,0.496408,0.340156,0.384542,0.159838,0.46316,0.102419,0.0
0.154562,0.291509,0.598476,0.054764,0.294001,0.150916,0.245881,0.585692,0.241776,0.255747,0.369566,0.136766,0.676968,0.855776,0.500832,0.07124,0.682361,0.598526,0.488255,0.030158,0.418492,0.280648,0.368585,0.505601,0.335594,0.366431,0.144176,0.47244,0.096229,3e-06
0.170127,0.307862,0.556947,0.052794,0.300535,0.141904,0.259752,0.638069,0.265912,0.248161,0.361974,0.129185,0.662588,0.853086,0.514784,0.067656,0.752818,0.576784,0.517769,0.04784,0.440101,0.280567,0.399039,0.529683,0.350727,0.365718,0.12905,0.495338,0.088084,0.000111
0.166739,0.33281,0.52349,0.052428,0.348931,0.120816,0.273787,0.694292,0.299839,0.237555,0.352806,0.135791,0.669807,0.860299,0.508104,0.066673,0.842544,0.514777,0.553662,0.071786,0.473003,0.315406,0.417098,0.533323,0.352074,0.38161,0.097103,0.515881,0.070248,0.000807
0.129282,0.390147,0.471522,0.037856,0.404636,0.106146,0.286339,0.689867,0.349098,0.210093,0.325335,0.152821,0.696311,0.874548,0.479027,0.064268,0.924305,0.488821,0.539213,0.094447,0.493891,0.269477,0.456609,0.56937,0.359415,0.369445,0.078124,0.531176,0.043538,0.000522
0.125912,0.390651,0.441813,0.012901,0.453985,0.10494,0.302029,0.676783,0.391093,0.134407,0.307403,0.14136,0.745787,0.889577,0.487187,0.058969,0.957451,0.540586,0.58995,0.072196,0.5218,0.202493,0.435495,0.577174,0.378384,0.198323,0.085514,0.545035,0.033719,0.001602
0.158071,0.376245,0.446266,0.005202,0.487275,0.132124,0.288356,0.667239,0.444803,0.094944,0.299698,0.126196,0.798428,0.895138,0.433618,0.06372,0.956737,0.513901,0.676848,0.067495,0.577053,0.161135,0.435942,0.616866,0.39359,0.069748,0.099539,0.557435,0.033147,0.003519
0.159552,0.396103,0.468514,0.002875,0.508826,0.162346,0.289937,0.674439,0.507443,0.096421,0.295045,0.137837,0.825941,0.890248,0.391371,0.065502,0.947187,0.484021,0.700482,0.121462,0.605661,0.146728,0.482944,0.627669,0.391861,0.031745,0.121368,0.570904,0.025633,0.00493
0.163981,0.446146,0.482526,0.001943,0.522674,0.15645,0.299864,0.688634,0.520212,0.098754,0.283151,0.165391,0.846227,0.871924,0.337765,0.058552,0.922562,0.471501,0.670007,0.146286,0.553596,0.147426,0.510776,0.654802,0.373405,0.024544,0.144177,0.576888,0.017352,0.013121
0.212943,0.498558,0.46827,0.006042,0.530314,0.154678,0.331283,0.696525,0.519891,0.100419,0.27571,0.173588,0.867484,0.840322,0.283906,0.064573,0.881877,0.465001,0.631673,0.14745,0.528604,0.148876,0.542972,0.655281,0.378565,0.020322,0.177519,0.591867,0.011266,0.030962
0.273838,0.543504,0.423841,0.012928,0.5452,0.177168,0.382427,0.70764,0.514757,0.096751,0.277173,0.189646,0.874184,0.790162,0.272773,0.089579,0.839582,0.43815,0.612277,0.164791,0.556568,0.156137,0.579994,0.653231,0.392707,0.016876,0.24325,0.595804,0.007618,0.043155
